ClusterId,DistrictCity,Jamoat,DateCollectionStart,BoxID,MONEY,DATE,COUNT,PSU_ID,URB_RUR,REGION,DISTRICT,LONG,LAT
10,Dushanbe,"Firdavsi str.,h 39.,ap 5",11/25/2016,1001,1,12/9/2016 15:53,87,10,urban,Dushanbe,Firdavsi,68.76331505,38.51701626
12,Dushanbe,,11/9/2016,1002,1,1/6/2017 11:54,204,12,urban,Dushanbe,Shohmansur,68.84520185,38.56253998
41,Fayzobod,Miskinobod,12/1/2016,1003,1,1/7/2017 5:03,310,41,Rural,DRS,Fayzabad,69.60020189,38.69467064
122,Asht,Shaydon,11/30/2016,1004,1,11/2/2016 1:00,17,122,Rural,Sugd,Asht,70.31488099,40.67285066
94,Farkhor,Vatan,10/31/2016,1005,1,10/25/2016 6:36,62,94,Rural,Khatlon,Farkhor,69.38576119,37.5294611
50,Kurgan-Tyube,,10/29/2016,1006,1,1/7/2017 2:06,222,50,urban,Khatlon,Курган-Тюбе,68.77796122,37.84467432
131,Istaravshan,Zarhalol,11/27/2016,1007,1,1/7/2017 0:04,276,131,Rural,Sugd,Istaravshan,69.02904727,39.97079798
67,J.Rumi,,10/24/2016,1008,1,1/7/2017 5:24,648,67,urban,Khatlon,J.Rumi,68.6569064,37.58924053
100,Temurnalik,Karakamish,11/22/2016,1009,1,1/7/2017 9:26,353,100,Rural,Khatlon,Temurmalik,69.48918127,38.20394327
29,Shahrinav,Khujanbi str.,12/2/2016,1010,1,1/7/2017 6:34,169,29,urban,DRS,Shahrinav,68.33198449,38.53176612
126,J.Rasulov,Gulakandoz,12/11/2016,1011,1,1/7/2017 0:04,193,126,Rural,Sugd,J.Rasulov,69.45667544,40.16107849
77,Shahrituz,Sayod,10/26/2016,1012,1,1/7/2017 0:08,504,77,Rural,Khatlon,Shahrituz,68.14991287,37.2103631
103,Khujand,"Gagarin str.,h 12/12b",11/30/2016,1013,1,12/9/2016 13:49,49,103,urban,Sugd,Khujand,69.59013445,40.2894689
66,Yovon,Obimuki,12/2/2016,1014,1,1/7/2017 9:30,485,66,Rural,Khatlon,Yavan,69.04057484,38.25519148
63,Jomi,Iakkatut,12/6/2016,1015,1,1/7/2017 0:10,103,63,Rural,Khatlon,A.Jomi,68.75491381,37.9556626
51,Kurgan-Tyube,,10/31/2016,1016,1,1/7/2017 3:23,283,51,urban,Khatlon,Курган-Тюбе,68.77390882,37.84206577
99,Khovaling,Lohuti,11/15/2016,1017,1,1/7/2017 4:56,527,99,Rural,Khatlon,Khovaling,69.8388807,38.32252795
148,Rushon,Basid,11/13/2016,1018,1,1/7/2017 7:37,461,148,Rural,GBAO,Rushon,72.16326079,38.10514726
45,Rasht,Dzharf,11/11/2016,1019,1,1/7/2017 5:04,458,45,Rural,DRS,Rasht,70.628691,39.147376
107,B.Gafurov,Kuybishev,12/3/2016,1020,1,1/7/2017 1:20,276,107,urban,Sugd,B.Gafurov,69.70756918,40.22811016
39,Fayzobod,Fayzobod,11/25/2016,1021,1,1/7/2017 3:30,304,39,urban,DRS,Fayzabad,69.31359849,38.52606983
101,Temurmalik,Karakamish,12/25/2016,1022,1,1/7/2017 4:48,416,101,Rural,Khatlon,Temurmalik,69.52344847,38.23299811
143,Panjakent,Sarazm,11/25/2016,1023,1,1/7/2017 3:25,147,143,Rural,Sugd,Panjakent,67.51757327,39.44362207
35,Vahdat,Abdulvositov,11/11/2016,1024,1,1/7/2017 3:55,285,35,Rural,DRS,Vahdat,69.07583472,38.56390512
113,B.Gafurov,Ismoil,11/23/2016,1025,1,1/7/2017 5:42,277,113,Rural,Sugd,B.Gafurov,69.945693,40.432452
