PSU_ID,URB_RUR,REGION,DISTRICT,LONG,LAT
1,urban,Dushanbe,Somoni,68.76761352448982,38.64647594081632
2,urban,Dushanbe,Somoni,68.7749059999999,38.56403800000006
3,urban,Dushanbe,Somoni,68.79356550346532,38.59964447153469
4,urban,Dushanbe,Sino,68.72877443164559,38.57967731835442
5,urban,Dushanbe,Sino,68.74031480681818,38.57471937727273
6,urban,Dushanbe,Sino,68.73924146153844,38.57470073333333
7,urban,Dushanbe,Sino,68.74557007337273,38.55727730710058
8,urban,Dushanbe,Sino,68.74113869390682,38.53125225591396
9,urban,Dushanbe,Firdavsi,68.75332267096776,38.55576435806452
10,urban,Dushanbe,Firdavsi,68.7633150467742,38.51701625645163
11,urban,Dushanbe,Firdavsi,68.76102143333333,38.51681345833332
12,urban,Dushanbe,Shohmansur,68.845201848,38.56253998
13,urban,Dushanbe,Shohmansur,68.78840009739132,38.55603112869564
14,urban,Dushanbe,Shohmansur,68.81596073750001,38.55906902083333
15,Rural,DRS,Varzob,68.86685624909092,38.67678019636364
16,urban,DRS,Gissar,68.54355895434787,38.53150235086955
17,Rural,DRS,Gissar,68.61052693266667,38.61767572066665
18,Rural,DRS,Gissar,68.4837553192105,38.5683988868421
19,Rural,DRS,Gissar,68.52237609003983,38.50388539780875
20,Rural,DRS,Gissar,68.52939436666664,38.55873364275362
21,Rural,DRS,Rudaki,38.53356644308941,68.86214561788621
22,Rural,DRS,Rudaki,68.72045866389894,38.49543075956684
23,Rural,DRS,Rudaki,68.7948793283333,38.43434448799999
24,Rural,DRS,Rudaki,68.76780296175637,38.42989909008499
25,urban,DRS,Tursubzoda,68.25983786969697,38.5414872030303
26,Rural,DRS,Tursubzoda,68.18750132000001,38.48957339000002
27,Rural,DRS,Tursubzoda,68.32935053920272,38.62285729003322
28,Rural,DRS,Tursubzoda,68.27567995519999,38.35058115840001
29,urban,DRS,Shahrinav,68.33198448918918,38.53176612297296
30,urban,DRS,Vahdat,69.01548720860532,38.55209124480714
31,Rural,DRS,Vahdat,68.9572089585227,38.60003016874999
32,Rural,DRS,Vahdat,68.97934982285713,38.57005027619046
33,Rural,DRS,Vahdat,68.9671329635659,38.52478684612405
34,Rural,DRS,Vahdat,68.96256182227803,38.49564397085432
35,Rural,DRS,Vahdat,69.07583471585365,38.56390511798779
36,Rural,DRS,Vahdat,69.01519291428573,38.5111729805195
37,Rural,DRS,Vahdat,69.00756093170729,38.63505834796746
38,Rural,DRS,Vahdat,69.07644209184953,38.59496787178683
39,urban,DRS,Fayzabad,69.31359848915253,38.52606983050848
40,Rural,DRS,Fayzabad,69.23020601550564,38.53039006202246
41,Rural,DRS,Fayzabad,69.60020188552633,38.69467064342103
42,Rural,DRS,Nurabad,69.88100600000004,38.80599400000003
43,Rural,DRS,Nurabad,69.91098700000009,38.94077199999997
44,Rural,DRS,Rasht,70.23506199999981,39.09521400000022
45,Rural,DRS,Rasht,70.6286909999999,39.14737599999992
46,Rural,DRS,Rasht,70.50543800000007,38.99612699999992
47,Rural,DRS,Rasht,70.09070999999996,38.99539600000002
48,Rural,DRS,Jirgital,71.90834100000008,39.20139299999994
49,Rural,DRS,Jirgital,71.4093520000002,39.34939500000004
50,urban,Khatlon,Курган-Тюбе,68.77796122021273,37.84467432244679
51,urban,Khatlon,Курган-Тюбе,68.7739088191319,37.84206576913184
52,Rural,Khatlon,Bokhtar,68.65960657375004,37.79547329531251
53,Rural,Khatlon,Bokhtar,68.7999408037736,37.83465450377358
54,Rural,Khatlon,Bokhtar,68.52974016709263,37.62056331821085
55,Rural,Khatlon,Bokhtar,68.73884438764047,37.69947193483144
56,Rural,Khatlon,Bokhtar,68.74439172295084,37.81553282950821
57,Rural,Khatlon,Khutoson,68.69857778447839,37.97990919720102
58,Rural,Khatlon,Khutoson,68.71908335617971,38.02825677134832
59,Rural,Khatlon,Vakhsh,68.75694526905831,37.80499072466367
60,Rural,Khatlon,Vakhsh,68.85812916153847,37.78894028205129
61,Rural,Khatlon,A.Jomi,68.80761501198043,38.07205583276283
62,Rural,Khatlon,A.Jomi,68.77436285764709,37.94562745147061
63,Rural,Khatlon,A.Jomi,68.75491380874634,37.95566260437317
64,Rural,Khatlon,Yavan,68.87067982549405,38.24035305810273
65,Rural,Khatlon,Yavan,69.02856187727269,38.20481523872053
66,Rural,Khatlon,Yavan,69.04057483872437,38.255191476082
67,urban,Khatlon,J.Rumi,68.65690639532566,37.58924052704832
68,Rural,Khatlon,J.Rumi,68.58323460182928,37.63572101951219
69,urban,Khatlon,Qumsangir,68.68688940361386,37.35688317327617
70,Rural,Khatlon,Qumsangir,68.64004629658382,37.45976799534158
71,Rural,Khatlon,Qumsangir,68.64628050270264,37.40372894918922
