PSU_ID,URB_RUR,REGION,DISTRICT,LONG,LAT
72,Rural,Khatlon,Qumsangir,68.45085720448918,37.23293107043348
73,Rural,Khatlon,Panj,69.08546112509961,37.24364285537848
74,Rural,Khatlon,Panj,69.1095966172297,37.22181688479729
75,Rural,Khatlon,Panj,69.09934775497628,37.25032805924171
76,urban,Khatlon,Shahrituz,68.14253859616726,37.26728662682925
77,Rural,Khatlon,Shahrituz,68.14991287042724,37.21036309555557
78,Rural,Khatlon,Shahrituz,68.12785092975,37.62154387250003
79,Rural,Khatlon,Jillikul,68.4741587943396,37.57594376339621
80,Rural,Khatlon,Kubodien,68.19332619261601,37.413677157173
81,Rural,Khatlon,H. Khusrav,67.98130547554082,37.30840118968387
82,urban,Khatlon,Kulob,69.76746055312505,37.88558084140625
83,Rural,Khatlon,Kulob,69.86078544084971,38.05089098137255
84,Rural,Khatlon,Kulob,69.75446875172413,37.87022935172415
85,Rural,Khatlon,Kulob,69.75333527205241,37.83212437379914
86,Rural,Khatlon,Kulob,69.76269965931375,37.88144997696077
87,urban,Khatlon,Voce,69.6365043787234,37.79539630297875
88,Rural,Khatlon,Voce,69.55226138079162,37.7778346987195
89,Rural,Khatlon,Voce,69.57080276666663,37.88867035090908
90,Rural,Khatlon,Shuronod,70.04056817158475,37.84226290710384
91,Rural,Khatlon,Muminobod,69.84031209687502,37.917031440625
92,urban,Khatlon,Farkhor,69.39582162118867,37.49128417958658
93,Rural,Khatlon,Farkhor,69.42917184477388,37.57537252308894
94,Rural,Khatlon,Farkhor,69.3857611850575,37.52946109597702
95,urban,Khatlon,Nurek,69.32308827860747,38.38970313723508
96,Rural,Khatlon,Nurek,69.24791329999999,38.4025367
97,Rural,Khatlon,Baljuvon,69.75608916551724,38.3554090862069
98,Rural,Khatlon,Khovaling,69.93305695871563,38.32980764954129
99,Rural,Khatlon,Khovaling,69.83888069999999,38.32252794999999
100,Rural,Khatlon,Temurmalik,69.4891812676768,38.20394327373737
101,Rural,Khatlon,Temurmalik,69.52344846557381,38.23299810819673
102,Rural,Khatlon,Temurmalik,69.5237365875,38.2324780875
103,urban,Sugd,Khujand,69.59013444779909,40.28946889761561
104,urban,Sugd,Khujand,69.62896551944445,40.30177828055555
105,urban,Sugd,Khujand,69.6169895354717,40.28236385245283
106,urban,Sugd,Khujand,69.64377666,40.28142835999999
107,urban,Sugd,B.Gafurov,69.70756917596152,40.22811015673078
108,urban,Sugd,B.Gafurov,70.43029,41.00002550000001
109,Rural,Sugd,B.Gafurov,69.72321893224041,40.31820966557378
110,Rural,Sugd,B.Gafurov,69.8040690891566,40.23579195421688
111,Rural,Sugd,B.Gafurov,69.65226745913709,40.28255264568526
112,Rural,Sugd,B.Gafurov,69.90162882401316,40.35025138322368
113,Rural,Sugd,B.Gafurov,69.94569300000059,40.43245199999969
114,Rural,Sugd,B.Gafurov,69.74909833577978,40.21390409082567
115,Rural,Sugd,B.Gafurov,69.6731959539094,40.25527461262006
116,Rural,Sugd,B.Gafurov,69.70677533285088,40.28695187105641
117,Rural,Sugd,B.Gafurov,69.81074746502308,40.197263503698
118,Rural,Sugd,Maschoh,69.3129757101545,40.42845520507726
119,Rural,Sugd,Maschoh,69.30387623658059,40.48528505268391
120,Rural,Sugd,Asht,70.3195177138365,40.57288772704402
121,Rural,Sugd,Asht,70.31425663693187,40.64793345937503
122,Rural,Sugd,Asht,70.31488098965517,40.67285065793105
123,Rural,Sugd,Gonchi,69.11725818110605,39.74065623271893
124,Rural,Sugd,Gonchi,69.11302041976046,40.03337270868264
125,Rural,Sugd,Spitamen,69.33312537049842,40.17681836052901
126,Rural,Sugd,J.Rasulov,69.45667544018406,40.16107849478525
127,Rural,Sugd,Zafarobod,68.66963983435419,40.14156388655123
128,urban,Sugd,Istaravshan,68.65591129545456,39.71858991565655
129,urban,Sugd,Istaravshan,68.78582667756409,39.791051055609
130,Rural,Sugd,Istaravshan,68.95339277238305,39.88734070757242
131,Rural,Sugd,Istaravshan,69.02904727221223,39.97079798210436
132,Rural,Sugd,Istaravshan,68.92031645245208,39.9701303790072
133,Rural,Sugd,Istaravshan,69.0207723211887,39.91072534935405
134,Rural,Sugd,Istaravshan,68.97526276401217,39.97441342580642
135,Rural,Sugd,Shahriston,68.7329633064837,39.7062898720698
136,urban,Sugd,Isfara,70.62512999121218,40.1202629951515
137,Rural,Sugd,Isfara,70.57960925928042,40.14345154753784
138,urban,Sugd,Konibodom,70.41509685551259,40.29681632127664
139,Rural,Sugd,Konibodom,70.42780817915833,40.30465142525056
140,urban,Sugd,Panjakent,67.62777045357146,39.49913740833332
141,Rural,Sugd,Panjakent,67.85106303136094,39.39133878698225
142,Rural,Sugd,Panjakent,67.67146515143769,39.25535143514376
143,Rural,Sugd,Panjakent,67.51757326690907,39.44362207418183
144,Rural,Sugd,Panjakent,67.71890119977351,39.48637048732083
145,Rural,Sugd,Ayni,68.45320176142857,39.43037903476191
146,Rural,Sugd,Kukhistoni Maschoh,70.02596037419355,39.44865274354839
147,urban,GBAO,Khorog,71.55659149172935,37.50950568872182
148,Rural,GBAO,Rushon,72.16326079272723,38.10514725818178
149,Rural,GBAO,Rushon,71.30864433428572,37.92512306761908
150,Rural,GBAO,Shugnon,72.33657909999999,37.6991956047619
